date,source_file,plant_kwh_computed,plant_kwh_reported,plant_capacity_kw_computed,plant_capacity_kw_reported,plant_site_count,township_kwh_computed,township_kwh_reported,township_capacity_kw_computed,township_capacity_kw_reported,township_site_count,net_kwh_reported,net_capacity_kw_reported,net_kwh_computed,net_capacity_kw_computed,plant_kwh_delta,township_kwh_delta,net_kwh_delta,reconciliation_flags,dated_in_sheet,headline_kwh
2026-08-21,Generation/08/21/2026 20:40.xlsx,1164.13,1010.77,995.26,925.26,13,184.15,184.15,169.585,169.585,5,1582.52,1472.515,1348.28,1164.845,153.36,0.0,-234.24,plant:+153.36kWh;net:-234.24kWh,yes,1348.28
2026-08-22,Generation/08/22/2026 20:40.xlsx,1546.37,1333.61,995.26,925.26,13,255.58,255.58,169.585,169.585,5,1976.79,1472.515,1801.95,1164.845,212.76,0.0,-174.84,plant:+212.76kWh;net:-174.84kWh,yes,1801.95
2026-08-23,Generation/08/23/2026 20:40.xlsx,1424.09,1232.12,995.26,925.26,13,260.88,260.88,169.585,169.585,5,1880.6,1472.515,1684.97,1164.845,191.97,0.0,-195.63,plant:+191.97kWh;net:-195.63kWh,yes,1684.97
2026-08-24,Generation/08/24/2026 20:40.xlsx,1794.07,1537.75,995.26,925.26,13,310.7,310.7,169.585,169.585,5,2236.05,1472.515,2104.77,1164.845,256.32,0.0,-131.28,plant:+256.32kWh;net:-131.28kWh,yes,2104.77
2026-08-25,Generation/08/25/2026 20:42.xlsx,1811.47,1556.14,995.26,925.26,13,271.27,271.27,169.585,169.585,5,2215.01,1472.515,2082.74,1164.845,255.33,0.0,-132.27,plant:+255.33kWh;net:-132.27kWh,yes,2082.74
2026-08-26,Generation/08/26/2026 20:40.xlsx,1715.99,1476.5,995.26,925.26,13,264.17,264.17,169.585,169.585,5,2128.27,1472.515,1980.16,1164.845,239.49,0.0,-148.11,plant:+239.49kWh;net:-148.11kWh,yes,1980.16
2026-08-27,Generation/08/27/2026 20:41.xlsx,1404.33,1198.5,995.26,925.26,13,251.09,251.09,169.585,169.585,5,1837.19,1472.515,1655.42,1164.845,205.83,0.0,-181.77,plant:+205.83kWh;net:-181.77kWh,yes,1655.42
2026-08-28,Generation/08/28/2026 20:40.xlsx,1526.81,1316.03,995.26,925.26,13,256.66,256.66,169.585,169.585,5,1960.29,1472.515,1783.47,1164.845,210.78,0.0,-176.82,plant:+210.78kWh;net:-176.82kWh,yes,1783.47
2026-08-29,Generation/08/29/2026 20:40.xlsx,1514.78,1299.05,995.26,925.26,13,252.18,252.18,169.585,169.585,5,1938.83,1472.515,1766.96,1164.845,215.73,0.0,-171.87,plant:+215.73kWh;net:-171.87kWh,yes,1766.96
2026-08-30,Generation/08/30/2026 20:40.xlsx,1514.96,1305.17,995.26,925.26,13,243.54,243.54,169.585,169.585,5,1936.31,1472.515,1758.5,1164.845,209.79,0.0,-177.81,plant:+209.79kWh;net:-177.81kWh,yes,1758.5
